id,title,artist,genre,mood,energy,tempo_bpm,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.82,0.35
11,Desert Mirage,Nomad Sun,world,spiritual,0.55,105,0.60,0.40
12,Winter Waltz,Crystal Ensemble,classical,calm,0.30,90,0.45,0.95
13,Digital Dreamscape,Pixel Pilot,chiptune,playful,0.78,140,0.80,0.12
14,Bluegrass Breeze,Appalachian Roots,bluegrass,joyful,0.67,120,0.72,0.30
15,Golden Hour,Sunset Strings,folk,nostalgic,0.50,100,0.65,0.60
16,Urban Pulse,Metro Beat,hip hop,confident,0.88,98,0.85,0.10
17,Descent,Shadow Veil,metal,aggressive,0.95,160,0.55,0.05
18,Lotus Meditation,Zen Flow,new age,peaceful,0.25,60,0.40,0.98
19,Island Skank,Tropic Vibe,reggae,laid-back,0.60,76,0.78,0.50
20,Galactic Voyage,Stellar Drift,space,epic,0.80,130,0.70,0.20
